-4312.0,18593344.0,-254.0,64516.0
-4292.0,18421264.0,-244.0,59536.0
-4288.0,18386944.0,-246.0,60516.0
-4272.0,18249984.0,-244.0,59536.0
-4284.0,18352656.0,-246.0,60516.0
-4268.0,18215824.0,-258.0,66564.0
-4256.0,18113536.0,-262.0,68644.0
-4256.0,18113536.0,-274.0,75076.0
-4264.0,18181696.0,-268.0,71824.0
-4268.0,18215824.0,-274.0,75076.0
-4280.0,18318400.0,-268.0,71824.0
-4276.0,18284176.0,-266.0,70756.0
-4268.0,18215824.0,-264.0,69696.0
-4252.0,18079504.0,-246.0,60516.0
-4240.0,17977600.0,-244.0,59536.0
-4252.0,18079504.0,-250.0,62500.0
-4256.0,18113536.0,-248.0,61504.0
-4256.0,18113536.0,-246.0,60516.0
-4256.0,18113536.0,-238.0,56644.0
-4268.0,18215824.0,-234.0,54756.0
-4260.0,18147600.0,-240.0,57600.0
-4264.0,18181696.0,-242.0,58564.0
-4288.0,18386944.0,-268.0,71824.0
-4304.0,18524416.0,-270.0,72900.0
-4312.0,18593344.0,-276.0,76176.0
-4332.0,18766224.0,-272.0,73984.0
-4360.0,19009600.0,-264.0,69696.0
-4348.0,18905104.0,-256.0,65536.0
-4348.0,18905104.0,-254.0,64516.0
-4356.0,18974736.0,-258.0,66564.0
-4344.0,18870336.0,-260.0,67600.0
-4344.0,18870336.0,-270.0,72900.0
-4312.0,18593344.0,-252.0,63504.0
-4296.0,18455616.0,-258.0,66564.0
-4300.0,18490000.0,-256.0,65536.0
-4312.0,18593344.0,-252.0,63504.0
-4300.0,18490000.0,-246.0,60516.0
-4304.0,18524416.0,-248.0,61504.0
-4288.0,18386944.0,-242.0,58564.0
-4284.0,18352656.0,-244.0,59536.0
-4264.0,18181696.0,-232.0,53824.0
-4276.0,18284176.0,-230.0,52900.0
-4288.0,18386944.0,-240.0,57600.0
-4292.0,18421264.0,-238.0,56644.0
-4300.0,18490000.0,-244.0,59536.0
-4296.0,18455616.0,-246.0,60516.0
-4304.0,18524416.0,-242.0,58564.0
-4316.0,18627856.0,-240.0,57600.0
-4324.0,18696976.0,-242.0,58564.0
-4292.0,18421264.0,-250.0,62500.0
-4288.0,18386944.0,-248.0,61504.0
-4288.0,18386944.0,-246.0,60516.0
-4304.0,18524416.0,-250.0,62500.0
-4300.0,18490000.0,-248.0,61504.0
-4308.0,18558864.0,-266.0,70756.0
-4308.0,18558864.0,-272.0,73984.0
-4308.0,18558864.0,-270.0,72900.0
-4312.0,18593344.0,-276.0,76176.0
-4320.0,18662400.0,-288.0,82944.0
-4304.0,18524416.0,-282.0,79524.0
-4288.0,18386944.0,-268.0,71824.0
-4296.0,18455616.0,-254.0,64516.0
-4284.0,18352656.0,-266.0,70756.0
-4276.0,18284176.0,-270.0,72900.0
-4280.0,18318400.0,-274.0,75076.0
-4276.0,18284176.0,-272.0,73984.0
-4280.0,18318400.0,-288.0,82944.0
-4288.0,18386944.0,-292.0,85264.0
-4272.0,18249984.0,-288.0,82944.0
-4280.0,18318400.0,-294.0,86436.0
-4268.0,18215824.0,-286.0,81796.0
-4260.0,18147600.0,-276.0,76176.0
-4264.0,18181696.0,-274.0,75076.0
-4264.0,18181696.0,-270.0,72900.0
-4248.0,18045504.0,-262.0,68644.0
-4252.0,18079504.0,-264.0,69696.0
-4252.0,18079504.0,-262.0,68644.0
-4236.0,17943696.0,-260.0,67600.0
-4232.0,17909824.0,-240.0,57600.0
-4236.0,17943696.0,-262.0,68644.0
-4252.0,18079504.0,-264.0,69696.0
-4240.0,17977600.0,-256.0,65536.0
-4244.0,18011536.0,-248.0,61504.0
-4244.0,18011536.0,-244.0,59536.0
-4252.0,18079504.0,-240.0,57600.0
-4264.0,18181696.0,-252.0,63504.0
-4272.0,18249984.0,-258.0,66564.0
-4280.0,18318400.0,-260.0,67600.0
-4288.0,18386944.0,-262.0,68644.0
-4248.0,18045504.0,-250.0,62500.0
-4256.0,18113536.0,-246.0,60516.0
-4256.0,18113536.0,-256.0,65536.0
-4268.0,18215824.0,-254.0,64516.0
-4252.0,18079504.0,-256.0,65536.0
-4252.0,18079504.0,-262.0,68644.0
-4256.0,18113536.0,-264.0,69696.0
-4252.0,18079504.0,-266.0,70756.0
-4252.0,18079504.0,-268.0,71824.0
-4228.0,17875984.0,-278.0,77284.0
-4228.0,17875984.0,-280.0,78400.0
-4224.0,17842176.0,-286.0,81796.0
-4208.0,17707264.0,-288.0,82944.0
-4192.0,17572864.0,-292.0,85264.0
-4180.0,17472400.0,-294.0,86436.0
-4192.0,17572864.0,-292.0,85264.0
-4204.0,17673616.0,-290.0,84100.0
-4244.0,18011536.0,-276.0,76176.0
-4228.0,17875984.0,-272.0,73984.0
-4228.0,17875984.0,-258.0,66564.0
-4212.0,17740944.0,-264.0,69696.0
-4220.0,17808400.0,-252.0,63504.0
-4224.0,17842176.0,-258.0,66564.0
-4224.0,17842176.0,-272.0,73984.0
-4224.0,17842176.0,-268.0,71824.0
-4240.0,17977600.0,-264.0,69696.0
-4228.0,17875984.0,-268.0,71824.0
-4232.0,17909824.0,-262.0,68644.0
-4220.0,17808400.0,-256.0,65536.0
-4216.0,17774656.0,-258.0,66564.0
-4224.0,17842176.0,-268.0,71824.0
-4224.0,17842176.0,-270.0,72900.0
-4220.0,17808400.0,-272.0,73984.0
-4208.0,17707264.0,-278.0,77284.0
-4212.0,17740944.0,-276.0,76176.0
-4228.0,17875984.0,-280.0,78400.0
-4236.0,17943696.0,-290.0,84100.0
-4240.0,17977600.0,-288.0,82944.0
