1.0,2.8808998244078667e-09
1.2,8.244614455767397e-11
1.4,1.0699927081266177e-05
1.6,1.1638917039360472e-35
1.8,4.429024365858971e-05
2.0,2.2855504086769694e-12
2.2,2.7100818008127087e-05
2.4,3.0402419442086474e-08
2.6,7.983645252753981e-05
2.8,6.318916363402793e-05
3.0,1.4154384384776313e-05
3.2,0.000129545291668746
3.4,7.527417773291343e-05
3.6,0.00011492575912714553
3.8,7.530800540588186e-05
4.0,8.380900544901438e-05
4.2,7.63355935349105e-05
4.4,4.240309446219682e-05
4.6,8.721055683373617e-05
4.8,6.918515980631988e-05
